User,Repo,Size (KB),Number of Contributors
fiji,Colocalisation_Analysis,1474,11
filipvanlaenen,firstTakesAll,2839,3
FingertiP,roboguice-sherlock,88,5
finnq,github-oauth-plugin,259,13
finnq,slave-setup-plugin,95,4
FireFry,algorithms-java-old,152,1
flengyel,stream-lib,1022,4
flozano,Alternator,416,10
flozano,emojiproblem,108,1
flozano,fluent-logger-java,441,5
flozano,infinispan-lucene-eof-problem,170,1
flozano,jackson-playground,136,1
flozano,java-apns,814,16
flozano,jbehave-junit-runner,1512,12
flozano,jesque-spring,144,3
fourk,metrics-statsd,131,3
FranciscoGutierrez,hintplugin,446,1
frankbe,jTrafo,1136,1
frank-rahn,test-spring-jpa,95,1
frank-rahn,test-spring-simple,43,1
frank-rahn,test-spring-web,85,1
FreddyPena,jadeDao,136,1
FreddyPena,pfm,2036,12
FredericHeem,coinfeed-backend,244,1
FredericHeem,jripple,212,1
fredg02,build-timeout-plugin,189,8
fredg02,copyartifact-plugin,2134,5
fredg02,cvs-plugin,759,20
fredg02,maven-plugin,3248,48
fredg02,parameterized-trigger-plugin,318,11
froland,envspec-spring-profiles,112,1
froland,saj-eshop,160,1
F-Secure,stash-broken-build-hook,1951,2
fusepoolP3,p3-any23-transformer,81,3
fusepoolP3,p3-bing-translate-transformer,25,2
fusepoolP3,p3-datatxt-stanbol,284,4
fusepoolP3,p3-dictionary-matcher-transformer,2637,3
fusepoolP3,p3-geo-enriching-transformer,218,3
fusepoolP3,p3-geo-interlinking,3292,2
fusepoolP3,p3-geoshowcase,8,2
fusepoolP3,p3-pipeline-transformer,77,3
fusepoolP3,p3-proxy,54,3
fusepoolP3,p3-silkdedup,315,3
fusepoolP3,p3-stanbol-engine-fam,236,2
fusepoolP3,p3-template-transformer,26,3
fusepoolP3,p3-transformer-client-library,35,2
fusepoolP3,p3-transformer-library,144,3
gary-rowe,hid4java,481,3
gary-rowe,MultiBitStore,1082,1
gary-rowe,SimpleScaffolding,219,1
garystafford,continuous-deployment-blogpost,160,1
gauthierbl,astyanax,4299,17
gauthierbl,DeckOfCards,124,1
gauthierbl,Robots,156,1
gautric,rabbit.java,160,1
gautric,spring-eap6-quickstart,306,7
gavinmead,chart-ms,1300,1
gbouknecht,my-web-app,239,1
gcummings,build-publisher-plugin,475,4
gcummings,checkstyle-plugin,1425,5
gcummings,confluence-publisher-plugin,400,4
gcummings,cvs-plugin,465,10
gcummings,envinject-plugin,608,5
